winner,wyId,label,team1_id,team1_name,team2_id,team2_name,team1_goals,team2_goals,avgHome,avgAway,UnderdogMatch,HomeUnderdog,AwayUnderdog
1625,2499934,"Manchester City - Watford, 3 - 1",1625,Manchester City,1644,Watford,3,1,1.15,18.77857142857143,1,0,1
1611,2499932,"Everton - Manchester United, 0 - 2",1623,Everton,1611,Manchester United,0,2,5.22,1.7771428571428571,1,1,0
1612,2499931,"Burnley - Liverpool, 1 - 2",1646,Burnley,1612,Liverpool,1,2,7.037142857142857,1.502857142857143,1,1,0
1631,2499933,"Leicester City - Huddersfield Town, 3 - 0",1631,Leicester City,1673,Huddersfield Town,3,0,1.6542857142857144,5.508571428571429,1,0,1
0,2499928,"West Bromwich Albion - Arsenal, 1 - 1",1627,West Bromwich Albion,1609,Arsenal,1,1,4.898571428571429,1.7214285714285713,1,1,0
0,2499921,"Crystal Palace - Manchester City, 0 - 0",1628,Crystal Palace,1625,Manchester City,0,0,11.28,1.262857142857143,1,1,0
0,2499924,"Manchester United - Southampton, 0 - 0",1611,Manchester United,1619,Southampton,0,0,1.362857142857143,8.942857142857143,1,0,1
1610,2499920,"Chelsea - Stoke City, 5 - 0",1610,Chelsea,1639,Stoke City,5,0,1.177142857142857,17.365714285714287,1,0,1
1612,2499923,"Liverpool - Leicester City, 2 - 1",1612,Liverpool,1631,Leicester City,2,1,1.3071428571428572,9.71,1,0,1
10531,2499927,"Watford - Swansea City, 1 - 2",1644,Watford,10531,Swansea City,1,2,1.6928571428571428,5.444285714285714,1,0,1
1625,2499915,"Newcastle United - Manchester City, 0 - 1",1613,Newcastle United,1625,Manchester City,0,1,12.585714285714285,1.2457142857142858,1,1,0
1612,2499913,"Liverpool - Swansea City, 5 - 0",1612,Liverpool,10531,Swansea City,5,0,1.1642857142857141,18.791428571428572,1,0,1
1610,2499910,"Chelsea - Brighton & Hove Albion, 2 - 0",1610,Chelsea,1651,Brighton & Hove Albion,2,0,1.197142857142857,16.92142857142857,1,0,1
0,2499914,"Manchester United - Burnley, 2 - 2",1611,Manchester United,1646,Burnley,2,2,1.2442857142857142,13.691428571428572,1,0,1
1624,2499916,"Tottenham Hotspur - Southampton, 5 - 2",1624,Tottenham Hotspur,1619,Southampton,5,2,1.3642857142857143,9.281428571428572,1,0,1
1624,2499901,"Burnley - Tottenham Hotspur, 0 - 3",1646,Burnley,1624,Tottenham Hotspur,0,3,6.764285714285714,1.5514285714285714,1,1,0
1625,2499904,"Manchester City - AFC Bournemouth, 4 - 0",1625,Manchester City,1659,AFC Bournemouth,4,0,1.1014285714285714,23.435714285714287,1,0,1
